# Generated by Autoplot on Mon Oct 10 07:28:15 CDT 2011
# {"Proton_Density": {
#    "LABEL": "Proton Density (cm-3)",
#    "UNITS": "cm-3"
# }}
# TITLE: Proton Density (/cc)
# UNITS: cm-3
Epoch (cdfEpoch), Proton_Density (cm-3)
2003-05-01T12:28:48.158Z,    4.38
2003-05-01T12:31:17.996Z,    4.13
2003-05-01T12:33:47.832Z,    3.99
2003-05-01T12:36:17.663Z,    4.69
2003-05-01T12:38:47.502Z,    4.41
2003-05-01T12:41:17.337Z,    3.58
2003-05-01T12:43:47.170Z,    4.48
2003-05-01T12:46:17.003Z,    3.97
2003-05-01T12:48:46.838Z,    3.26
2003-05-01T12:51:16.674Z,    4.52
2003-05-01T12:53:46.508Z,    4.05
2003-05-01T12:56:16.344Z,    4.69
2003-05-01T12:58:46.178Z,    3.39
2003-05-01T13:01:16.015Z,    4.20
2003-05-01T13:03:45.850Z,    4.49
2003-05-01T13:06:15.684Z,    3.77
2003-05-01T13:08:45.520Z,    4.22
2003-05-01T13:11:15.355Z,    4.54
2003-05-01T13:13:45.192Z,    5.01
2003-05-01T13:16:15.022Z,    3.50
2003-05-01T13:18:44.859Z,    3.71
2003-05-01T13:21:14.695Z,    3.34
2003-05-01T13:23:44.528Z,    3.57
2003-05-01T13:26:14.364Z,    4.59
2003-05-01T13:28:44.200Z,    3.93
2003-05-01T13:31:14.035Z,    5.11
2003-05-01T13:33:43.865Z,    3.81
2003-05-01T13:36:13.703Z,    3.82
2003-05-01T13:38:43.539Z,    3.74
2003-05-01T13:41:13.371Z,    3.79
2003-05-01T13:43:43.204Z,    3.55
2003-05-01T13:46:13.039Z,    3.72
2003-05-01T13:48:42.875Z,    4.17
2003-05-01T13:51:12.710Z,    3.98
2003-05-01T13:53:42.544Z,    4.32
2003-05-01T13:56:12.378Z,    3.68
2003-05-01T13:58:42.215Z,    3.62
2003-05-01T14:01:12.051Z,    3.42
2003-05-01T14:03:41.883Z,    3.85
2003-05-01T14:06:11.718Z,    4.13
2003-05-01T14:08:41.554Z,    4.52
2003-05-01T14:11:11.391Z,    3.70
2003-05-01T14:13:41.220Z,    3.97
2003-05-01T14:16:11.056Z,    3.48
2003-05-01T14:18:40.891Z,    3.51
2003-05-01T14:21:10.735Z,    3.49
2003-05-01T14:23:40.562Z,    3.64
2003-05-01T14:26:10.393Z,    4.00
2003-05-01T14:28:40.231Z,    3.51
2003-05-01T14:31:10.068Z,    3.57
2003-05-01T14:33:39.902Z,    3.37
2003-05-01T14:36:09.734Z,    3.70
2003-05-01T14:38:39.567Z,    3.38
2003-05-01T14:41:09.405Z,    3.62
2003-05-01T14:43:39.240Z,    3.32
2003-05-01T14:46:09.072Z,    3.45
2003-05-01T14:48:38.906Z,    3.59
2003-05-01T14:51:08.740Z,    3.60
2003-05-01T14:53:38.573Z,    3.63
2003-05-01T14:56:08.410Z,    3.55
2003-05-01T14:58:38.241Z,    3.89
2003-05-01T15:01:08.080Z,    4.10
2003-05-01T15:03:37.919Z,    3.73
2003-05-01T15:06:07.748Z,    3.81
2003-05-01T15:08:37.582Z,    3.03
2003-05-01T15:11:07.418Z,    3.71
2003-05-01T15:13:37.256Z,    3.42
2003-05-01T15:16:07.089Z,    3.30
2003-05-01T15:18:36.919Z,    3.24
2003-05-01T15:21:06.754Z,    3.34
2003-05-01T15:23:36.589Z,    2.83
2003-05-01T15:26:06.424Z,    3.09
2003-05-01T15:28:36.259Z,    2.81
2003-05-01T15:31:06.092Z,    3.18
2003-05-01T15:33:35.928Z,    3.09
2003-05-01T15:36:05.766Z,    3.28
2003-05-01T15:38:35.596Z,    3.41
2003-05-01T15:41:05.431Z,    3.61
2003-05-01T15:43:35.268Z,    4.05
2003-05-01T15:46:05.105Z,    3.70
2003-05-01T15:48:34.933Z,    3.71
2003-05-01T15:51:04.773Z,    3.49
2003-05-01T15:53:34.607Z,    3.59
2003-05-01T15:56:04.444Z,    4.20
2003-05-01T15:58:34.277Z,    3.33
2003-05-01T16:01:04.108Z,    3.30
2003-05-01T16:03:33.939Z,    3.17
2003-05-01T16:06:03.777Z,    3.33
2003-05-01T16:08:33.611Z,    3.25
2003-05-01T16:11:03.443Z,    3.20
2003-05-01T16:13:33.280Z,    3.20
2003-05-01T16:16:03.113Z,    3.45
2003-05-01T16:18:32.954Z,    3.37
2003-05-01T16:21:02.811Z,    3.64
2003-05-01T16:23:32.681Z,    2.65
2003-05-01T16:26:02.545Z,    3.35
2003-05-01T16:28:32.406Z,    3.62
2003-05-01T16:31:02.271Z,    3.56
2003-05-01T16:33:32.137Z,    3.46
2003-05-01T16:36:01.997Z,    3.22
2003-05-01T16:38:31.864Z,    3.51
2003-05-01T16:41:01.732Z,    4.11
2003-05-01T16:43:31.594Z,    3.40
2003-05-01T16:46:01.458Z,    3.90
2003-05-01T16:48:31.325Z,    3.43
2003-05-01T16:51:01.186Z,    3.16
2003-05-01T16:53:31.051Z,    2.80
2003-05-01T16:56:00.924Z,    3.43
2003-05-01T16:58:30.784Z,    3.22
2003-05-01T17:01:00.647Z,    3.46
2003-05-01T17:03:30.509Z,    3.31
2003-05-01T17:06:00.379Z,    4.68
2003-05-01T17:08:30.242Z,    2.84
2003-05-01T17:11:00.107Z,    2.77
2003-05-01T17:13:29.966Z,    3.40
2003-05-01T17:15:59.835Z,    2.66
2003-05-01T17:18:29.702Z,    3.69
2003-05-01T17:20:59.562Z,    2.50
2003-05-01T17:23:29.428Z,    3.33
2003-05-01T17:25:59.288Z,    3.07
2003-05-01T17:28:29.153Z,    3.12
2003-05-01T17:30:59.021Z,    3.13
2003-05-01T17:33:28.887Z,    3.38
2003-05-01T17:35:58.750Z,    3.47
2003-05-01T17:38:28.618Z,    3.39
2003-05-01T17:40:58.479Z,    3.92
2003-05-01T17:43:28.341Z,    2.76
2003-05-01T17:45:58.209Z,    2.54
2003-05-01T17:48:28.071Z,    2.95
2003-05-01T17:50:57.939Z,    4.04
2003-05-01T17:53:27.802Z,    3.19
2003-05-01T17:55:57.669Z,    3.27
2003-05-01T17:58:27.528Z,    2.99
2003-05-01T18:00:57.400Z,    3.40
2003-05-01T18:03:27.256Z,    3.10
2003-05-01T18:05:57.128Z,    2.94
2003-05-01T18:08:26.992Z,    3.19
2003-05-01T18:10:56.854Z,    3.21
2003-05-01T18:13:26.716Z,    3.32
2003-05-01T18:15:56.583Z,    3.36
2003-05-01T18:18:26.444Z,    3.52
2003-05-01T18:20:56.315Z,    3.57
